,volume,open,high,low,close,caldt
0,673513,562.05,562.23,561.97,562.11,2024-07-15 09:30:00-04:00
1,190493,562.12,562.17,561.92,562.1,2024-07-15 09:31:00-04:00
2,123001,562.095,562.17,561.99,562.04,2024-07-15 09:32:00-04:00
3,156429,562.03,562.26,561.9701,562.225,2024-07-15 09:33:00-04:00
4,137308,562.22,562.32,562.17,562.29,2024-07-15 09:34:00-04:00
5,136884,562.3,562.36,562.15,562.165,2024-07-15 09:35:00-04:00
6,102185,562.17,562.2719,562.14,562.255,2024-07-15 09:36:00-04:00
7,127848,562.25,562.26,562.06,562.21,2024-07-15 09:37:00-04:00
8,90639,562.2,562.48,562.185,562.47,2024-07-15 09:38:00-04:00
9,116529,562.46,562.73,562.42,562.72,2024-07-15 09:39:00-04:00
10,158106,562.71,562.78,562.59,562.65,2024-07-15 09:40:00-04:00
11,162422,562.66,562.83,562.615,562.78,2024-07-15 09:41:00-04:00
12,122971,562.77,562.77,562.64,562.68,2024-07-15 09:42:00-04:00
13,156659,562.67,562.67,561.94,561.97,2024-07-15 09:43:00-04:00
14,251117,561.96,562.08,561.86,561.87,2024-07-15 09:44:00-04:00
15,165218,561.89,561.9697,561.59,561.685,2024-07-15 09:45:00-04:00
16,120187,561.7,561.79,561.4,561.48,2024-07-15 09:46:00-04:00
17,57519,561.51,561.7295,561.39,561.7295,2024-07-15 09:47:00-04:00
18,115387,561.73,562.16,561.72,562.06,2024-07-15 09:48:00-04:00
19,106636,562.08,562.2495,561.88,561.91,2024-07-15 09:49:00-04:00
20,101156,561.96,561.98,561.565,561.6,2024-07-15 09:50:00-04:00
21,88184,561.58,561.67,561.445,561.64,2024-07-15 09:51:00-04:00
22,82112,561.62,561.89,561.52,561.87,2024-07-15 09:52:00-04:00
23,90320,561.86,562.2,561.86,562.15,2024-07-15 09:53:00-04:00
24,147290,562.13,562.19,561.89,562.02,2024-07-15 09:54:00-04:00
25,123289,562.01,562.06,561.88,561.92,2024-07-15 09:55:00-04:00
26,127196,561.93,562.0,561.86,561.98,2024-07-15 09:56:00-04:00
27,101830,561.97,561.98,561.7503,561.81,2024-07-15 09:57:00-04:00
28,86127,561.81,561.81,561.62,561.75,2024-07-15 09:58:00-04:00
29,118792,561.75,561.97,561.73,561.92,2024-07-15 09:59:00-04:00
30,135537,561.91,562.18,561.8979,562.0995,2024-07-15 10:00:00-04:00
31,94297,562.11,562.24,561.99,562.12,2024-07-15 10:01:00-04:00
32,91877,562.13,562.28,562.08,562.19,2024-07-15 10:02:00-04:00
33,124214,562.199,562.37,562.13,562.31,2024-07-15 10:03:00-04:00
34,96844,562.3,562.48,562.27,562.47,2024-07-15 10:04:00-04:00
35,93951,562.47,562.53,562.245,562.4,2024-07-15 10:05:00-04:00
36,85906,562.4,562.48,562.28,562.43,2024-07-15 10:06:00-04:00
37,64156,562.43,562.43,562.3,562.41,2024-07-15 10:07:00-04:00
38,60552,562.42,562.6,562.37,562.5829,2024-07-15 10:08:00-04:00
39,148864,562.58,562.75,562.5101,562.61,2024-07-15 10:09:00-04:00
40,95487,562.64,562.68,562.46,562.63,2024-07-15 10:10:00-04:00
41,55868,562.63,562.69,562.56,562.56,2024-07-15 10:11:00-04:00
42,105019,562.58,562.63,562.37,562.44,2024-07-15 10:12:00-04:00
43,91943,562.45,562.56,562.3408,562.3408,2024-07-15 10:13:00-04:00
44,108302,562.36,562.47,562.24,562.43,2024-07-15 10:14:00-04:00
45,86733,562.44,562.55,562.365,562.5,2024-07-15 10:15:00-04:00
46,84400,562.4809,562.67,562.4675,562.507,2024-07-15 10:16:00-04:00
47,69152,562.51,562.63,562.45,562.55,2024-07-15 10:17:00-04:00
48,98861,562.55,562.58,562.44,562.455,2024-07-15 10:18:00-04:00
49,60154,562.46,562.57,562.36,562.535,2024-07-15 10:19:00-04:00
50,76571,562.52,562.61,562.4489,562.58,2024-07-15 10:20:00-04:00
51,81039,562.58,562.63,562.525,562.59,2024-07-15 10:21:00-04:00
52,62380,562.6,562.67,562.57,562.61,2024-07-15 10:22:00-04:00
53,51555,562.63,562.68,562.53,562.66,2024-07-15 10:23:00-04:00
54,62993,562.6601,562.71,562.58,562.65,2024-07-15 10:24:00-04:00
55,56740,562.66,562.7,562.6001,562.61,2024-07-15 10:25:00-04:00
56,55605,562.62,562.67,562.58,562.61,2024-07-15 10:26:00-04:00
57,57059,562.605,562.72,562.53,562.7,2024-07-15 10:27:00-04:00
58,47757,562.69,562.71,562.64,562.65,2024-07-15 10:28:00-04:00
59,66857,562.65,562.77,562.6385,562.7,2024-07-15 10:29:00-04:00
60,101043,562.7,562.94,562.6589,562.9101,2024-07-15 10:30:00-04:00
61,115532,562.915,563.07,562.91,562.98,2024-07-15 10:31:00-04:00
62,64269,562.97,563.02,562.89,562.9,2024-07-15 10:32:00-04:00
63,60812,562.91,563.07,562.88,563.06,2024-07-15 10:33:00-04:00
64,75985,563.06,563.15,563.025,563.04,2024-07-15 10:34:00-04:00
65,71221,563.04,563.2,563.04,563.13,2024-07-15 10:35:00-04:00
66,80136,563.14,563.26,563.05,563.23,2024-07-15 10:36:00-04:00
67,54897,563.22,563.28,563.13,563.16,2024-07-15 10:37:00-04:00
68,46340,563.16,563.25,563.14,563.19,2024-07-15 10:38:00-04:00
69,67184,563.17,563.21,563.0,563.02,2024-07-15 10:39:00-04:00
70,85969,563.02,563.17,563.005,563.14,2024-07-15 10:40:00-04:00
71,111160,563.15,563.18,563.07,563.14,2024-07-15 10:41:00-04:00
72,46781,563.14,563.1998,563.11,563.185,2024-07-15 10:42:00-04:00
73,45506,563.1906,563.21,563.08,563.15,2024-07-15 10:43:00-04:00
74,51696,563.17,563.27,563.145,563.23,2024-07-15 10:44:00-04:00
75,52595,563.23,563.255,563.145,563.145,2024-07-15 10:45:00-04:00
76,57674,563.16,563.26,563.1,563.225,2024-07-15 10:46:00-04:00
77,22326,563.22,563.24,563.12,563.17,2024-07-15 10:47:00-04:00
78,23686,563.17,563.23,563.145,563.1901,2024-07-15 10:48:00-04:00
79,18273,563.19,563.26,563.19,563.2304,2024-07-15 10:49:00-04:00
80,59425,563.24,563.41,563.23,563.39,2024-07-15 10:50:00-04:00
81,92832,563.39,563.52,563.38,563.45,2024-07-15 10:51:00-04:00
82,64908,563.46,563.47,563.32,563.45,2024-07-15 10:52:00-04:00
83,52175,563.44,563.49,563.37,563.49,2024-07-15 10:53:00-04:00
84,72668,563.49,563.59,563.44,563.56,2024-07-15 10:54:00-04:00
85,89014,563.55,563.6999,563.51,563.65,2024-07-15 10:55:00-04:00
86,64308,563.65,563.71,563.55,563.67,2024-07-15 10:56:00-04:00
87,131740,563.69,563.79,563.64,563.74,2024-07-15 10:57:00-04:00
88,70823,563.74,563.74,563.65,563.7,2024-07-15 10:58:00-04:00
89,46663,563.7,563.71,563.6325,563.64,2024-07-15 10:59:00-04:00
90,125140,563.64,564.05,563.61,563.9,2024-07-15 11:00:00-04:00
91,151663,563.91,564.16,563.91,564.04,2024-07-15 11:01:00-04:00
92,81243,564.045,564.12,563.96,564.0593,2024-07-15 11:02:00-04:00
93,62210,564.05,564.12,563.98,564.094,2024-07-15 11:03:00-04:00
94,75200,564.09,564.135,564.02,564.11,2024-07-15 11:04:00-04:00
95,138737,564.11,564.27,564.07,564.11,2024-07-15 11:05:00-04:00
96,123433,564.13,564.21,564.07,564.095,2024-07-15 11:06:00-04:00
