,volume,open,high,low,close,caldt
0,57118956,558.8,560.51,556.61,556.94,2024-07-17 00:00:00-04:00
1,56270392,558.51,559.52,550.43,552.66,2024-07-18 00:00:00-04:00
2,65509081,552.42,554.08,547.91,548.99,2024-07-19 00:00:00-04:00
3,43346720,553.0,555.27,551.02,554.65,2024-07-22 00:00:00-04:00
4,34439561,554.54,556.735,553.275,553.78,2024-07-23 00:00:00-04:00
5,74515266,548.86,549.17,540.29,541.23,2024-07-24 00:00:00-04:00
6,61158288,541.35,547.455,537.45,538.41,2024-07-25 00:00:00-04:00
7,53763788,542.28,547.19,541.49,544.44,2024-07-26 00:00:00-04:00
8,39515824,546.02,547.05,542.72,544.76,2024-07-29 00:00:00-04:00
9,46853632,546.26,547.34,538.515,542.0,2024-07-30 00:00:00-04:00
10,65663388,548.98,553.5,547.5799,550.81,2024-07-31 00:00:00-04:00
11,76428732,552.57,554.8688,539.43,543.01,2024-08-01 00:00:00-04:00
12,82789070,535.75,536.99,528.6,532.9,2024-08-02 00:00:00-04:00
13,146267391,511.64,523.58,510.27,517.38,2024-08-05 00:00:00-04:00
14,84826312,519.22,529.75,517.87,522.15,2024-08-06 00:00:00-04:00
15,70698340,528.47,531.59,518.0519,518.66,2024-08-07 00:00:00-04:00
16,63276589,523.91,531.29,521.84,530.65,2024-08-08 00:00:00-04:00
17,45619558,529.81,534.51,528.56,532.99,2024-08-09 00:00:00-04:00
18,42542069,534.21,535.73,530.95,533.27,2024-08-12 00:00:00-04:00
19,52333073,536.53,542.28,536.28,542.04,2024-08-13 00:00:00-04:00
20,42446929,542.85,544.96,540.12,543.75,2024-08-14 00:00:00-04:00
21,60846812,549.5,553.36,548.88,553.07,2024-08-15 00:00:00-04:00
22,44430728,551.42,555.02,551.26,554.31,2024-08-16 00:00:00-04:00
23,39121793,554.73,559.61,553.86,559.61,2024-08-19 00:00:00-04:00
24,33732264,559.15,560.84,557.325,558.7,2024-08-20 00:00:00-04:00
25,41514600,559.77,562.11,554.73,560.62,2024-08-21 00:00:00-04:00
26,56121456,562.56,563.18,554.98,556.22,2024-08-22 00:00:00-04:00
27,50639393,559.53,563.09,557.29,562.13,2024-08-23 00:00:00-04:00
28,35788609,563.18,563.91,559.05,560.79,2024-08-26 00:00:00-04:00
29,32693898,559.49,562.06,558.32,561.56,2024-08-27 00:00:00-04:00
30,41066024,561.21,561.65,555.04,558.3,2024-08-28 00:00:00-04:00
31,38715176,560.31,563.68,557.18,558.35,2024-08-29 00:00:00-04:00
32,62700110,560.77,564.2,557.14,563.68,2024-08-30 00:00:00-04:00
33,60600113,560.47,560.81,549.51,552.08,2024-09-03 00:00:00-04:00
34,47224939,550.2,554.43,549.46,550.95,2024-09-04 00:00:00-04:00
35,44264258,550.89,553.7995,547.1,549.61,2024-09-05 00:00:00-04:00
36,68493805,549.94,551.6,539.44,540.36,2024-09-06 00:00:00-04:00
37,40445822,544.65,547.71,542.68,546.41,2024-09-09 00:00:00-04:00
38,36394579,548.36,549.15,543.38,548.79,2024-09-10 00:00:00-04:00
39,75248608,548.7,555.36,539.96,554.42,2024-09-11 00:00:00-04:00
40,51892735,555.01,559.4,552.74,559.09,2024-09-12 00:00:00-04:00
41,39310501,559.71,563.03,559.45,562.01,2024-09-13 00:00:00-04:00
42,36656122,561.74,563.11,559.9,562.84,2024-09-16 00:00:00-04:00
43,49320970,565.1,566.58,560.795,563.07,2024-09-17 00:00:00-04:00
44,59044937,563.74,568.69,560.83,561.4,2024-09-18 00:00:00-04:00
45,75315470,571.01,572.88,568.08,570.98,2024-09-19 00:00:00-04:00
46,77503110,567.84,569.31,565.17,568.25,2024-09-20 00:00:00-04:00
47,44116922,569.34,570.3325,568.1,569.67,2024-09-23 00:00:00-04:00
48,46805672,570.48,571.36,567.6,571.3,2024-09-24 00:00:00-04:00
49,38428587,571.14,571.89,568.91,570.04,2024-09-25 00:00:00-04:00
50,48336004,574.38,574.71,569.9,572.3,2024-09-26 00:00:00-04:00
51,42100928,573.39,574.22,570.42,571.47,2024-09-27 00:00:00-04:00
52,63655448,570.42,574.38,568.08,573.76,2024-09-30 00:00:00-04:00
53,72668778,573.4,574.0622,566.0,568.62,2024-10-01 00:00:00-04:00
54,38097798,567.71,569.9,565.27,568.86,2024-10-02 00:00:00-04:00
55,40846466,567.36,569.8025,565.49,567.82,2024-10-03 00:00:00-04:00
56,43005186,572.35,573.36,568.1,572.98,2024-10-04 00:00:00-04:00
57,49964690,571.3,571.9599,566.63,567.8,2024-10-07 00:00:00-04:00
58,37398693,570.42,573.78,569.5299,573.17,2024-10-08 00:00:00-04:00
59,37912244,573.16,577.71,572.55,577.14,2024-10-09 00:00:00-04:00
60,44138060,575.77,577.58,574.49,576.13,2024-10-10 00:00:00-04:00
61,42267994,576.05,580.33,575.91,579.58,2024-10-11 00:00:00-04:00
62,36217215,581.22,585.27,580.73,584.32,2024-10-14 00:00:00-04:00
63,54203636,584.59,584.9,578.545,579.78,2024-10-15 00:00:00-04:00
64,30725436,579.78,582.83,578.96,582.3,2024-10-16 00:00:00-04:00
65,34393714,585.91,586.12,582.16,582.35,2024-10-17 00:00:00-04:00
66,37416801,584.07,585.39,582.58,584.59,2024-10-18 00:00:00-04:00
67,36439010,583.85,584.85,580.6001,583.63,2024-10-21 00:00:00-04:00
68,34183835,581.05,584.5,580.38,583.32,2024-10-22 00:00:00-04:00
69,49314574,581.26,581.7086,574.415,577.99,2024-10-23 00:00:00-04:00
70,34979860,579.98,580.06,576.57,579.24,2024-10-24 00:00:00-04:00
