,volume,open,high,low,close,caldt
0,638669,558.79,559.38,558.78,559.28,2024-07-17 09:30:00-04:00
1,367417,559.3,559.54,559.26,559.42,2024-07-17 09:31:00-04:00
2,240048,559.425,559.5,559.27,559.41,2024-07-17 09:32:00-04:00
3,369112,559.42,559.62,559.34,559.56,2024-07-17 09:33:00-04:00
4,222710,559.57,559.83,559.51,559.7,2024-07-17 09:34:00-04:00
5,337325,559.7,560.12,559.63,560.06,2024-07-17 09:35:00-04:00
6,233305,560.0516,560.16,559.845,559.86,2024-07-17 09:36:00-04:00
7,165159,559.85,559.96,559.6499,559.81,2024-07-17 09:37:00-04:00
8,115993,559.82,559.83,559.61,559.69,2024-07-17 09:38:00-04:00
9,107675,559.68,559.93,559.61,559.67,2024-07-17 09:39:00-04:00
10,96498,559.68,559.9,559.6299,559.89,2024-07-17 09:40:00-04:00
11,106203,559.87,559.89,559.5,559.51,2024-07-17 09:41:00-04:00
12,141711,559.505,559.63,559.43,559.585,2024-07-17 09:42:00-04:00
13,217704,559.52,559.7,559.3,559.7,2024-07-17 09:43:00-04:00
14,106335,559.71,559.71,559.34,559.455,2024-07-17 09:44:00-04:00
15,94880,559.43,559.67,559.29,559.61,2024-07-17 09:45:00-04:00
16,144128,559.63,559.93,559.5,559.9101,2024-07-17 09:46:00-04:00
17,149740,559.915,560.1,559.8,559.86,2024-07-17 09:47:00-04:00
18,158380,559.865,559.9,559.56,559.67,2024-07-17 09:48:00-04:00
19,130263,559.675,559.81,559.6,559.75,2024-07-17 09:49:00-04:00
20,120428,559.73,559.97,559.7,559.95,2024-07-17 09:50:00-04:00
21,109772,559.9405,559.97,559.74,559.83,2024-07-17 09:51:00-04:00
22,74173,559.83,559.97,559.7501,559.97,2024-07-17 09:52:00-04:00
23,230560,559.975,560.32,559.84,560.25,2024-07-17 09:53:00-04:00
24,201896,560.25,560.51,560.25,560.38,2024-07-17 09:54:00-04:00
25,117847,560.38,560.495,560.185,560.22,2024-07-17 09:55:00-04:00
26,85389,560.215,560.25,559.87,559.99,2024-07-17 09:56:00-04:00
27,83550,559.98,560.26,559.94,560.11,2024-07-17 09:57:00-04:00
28,94705,560.115,560.215,560.01,560.125,2024-07-17 09:58:00-04:00
29,94983,560.14,560.14,559.85,559.875,2024-07-17 09:59:00-04:00
30,172244,559.87,559.89,559.32,559.32,2024-07-17 10:00:00-04:00
31,155579,559.32,559.43,559.1,559.32,2024-07-17 10:01:00-04:00
32,164653,559.3,559.33,559.14,559.15,2024-07-17 10:02:00-04:00
33,121828,559.16,559.34,559.05,559.05,2024-07-17 10:03:00-04:00
34,98215,559.06,559.15,559.02,559.09,2024-07-17 10:04:00-04:00
